User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
alphadogspartan,,The real Party of Diversity is watching a #woman Supreme Court Justice being sworn in by a #black Supreme Court Jus… https://t.co/OuUwm5EPil,4849,1250,60431,9/11/2015 2:33,10/27/2020 3:05,0,"[{'text': 'woman', 'indices': [42, 48]}, {'text': 'black', 'indices': [91, 97]}]"
JaredSuarez33,USA,"May God be with you Justice Barrett, and protect you. CONGRATULATIONS! 
@POTUS @PressSec @WhiteHouse @OANN… https://t.co/LYh3tAIOPY",436,361,2456,2/24/2012 22:36,10/27/2020 3:05,0,[]
DrewwwBjork,"Winston-Salem, NC","@PeteButtigieg @ODell_Nathaniel True, but we should not encourage #Democrats to impeach Justices just because… https://t.co/yp0BzOtFVz",61,72,6315,8/3/2015 8:09,10/27/2020 3:05,0,"[{'text': 'Democrats', 'indices': [66, 76]}]"
livinglongnow,USA,@JoeBiden We can’t let #Biden tear down our #Freedom! #Trump will give #US a way better plan for every #American !… https://t.co/arMg7Wa17S,576,619,16506,11/23/2013 5:18,10/27/2020 3:04,0,"[{'text': 'Biden', 'indices': [23, 29]}, {'text': 'Freedom', 'indices': [44, 52]}, {'text': 'Trump', 'indices': [54, 60]}, {'text': 'US', 'indices': [71, 74]}, {'text': 'American', 'indices': [103, 112]}]"
rooneygrl,The Planet Earth,Check out DrewBlaze's video! #TikTok#VoteBlue #BidenHarris2020 #DumpTrump #WearAMaskSaveALife #TrumpVirus… https://t.co/6sCHLa727W,948,61,5974,9/17/2010 23:22,10/27/2020 3:03,0,"[{'text': 'BidenHarris2020', 'indices': [46, 62]}, {'text': 'DumpTrump', 'indices': [63, 73]}, {'text': 'WearAMaskSaveALife', 'indices': [74, 93]}, {'text': 'TrumpVirus', 'indices': [94, 105]}]"
BigHeadTales,"Leftywood, Fascist America",@ewarren The United States can no longer be held hostage by #Republicans every time a SCOTUS retires.… https://t.co/IbBT8rQGb2,599,466,80393,2/9/2010 19:47,10/27/2020 3:02,0,"[{'text': 'Republicans', 'indices': [60, 72]}]"
MPaul888,,"@WalshFreedom I usually vote #republican or 3rd party, but not this year. I’ve voted for my first #Democrat preside… https://t.co/EMGr7VX59J",51,78,2161,3/28/2013 14:21,10/27/2020 3:00,0,"[{'text': 'republican', 'indices': [29, 40]}, {'text': 'Democrat', 'indices': [98, 107]}]"
PbuzzXr,,#Republican #Trump supporters claim to be conservative Christians. Republican party like the democrats are constant… https://t.co/Cd4B7Bscb2,803,1173,14272,11/7/2019 5:46,10/27/2020 2:59,0,"[{'text': 'Republican', 'indices': [0, 11]}, {'text': 'Trump', 'indices': [12, 18]}]"
BigHeadTales,"Leftywood, Fascist America",Pissed off that #Republicans rammed through the most partisan judge in US history to corrupt #SCOTUS against the Am… https://t.co/HgTJWvsm5D,599,466,80393,2/9/2010 19:47,10/27/2020 2:58,0,"[{'text': 'Republicans', 'indices': [16, 28]}, {'text': 'SCOTUS', 'indices': [93, 100]}]"
wbradptweets,,#Democrats playing nice. #ROTFL. They play the race card and try to destroy anyone who disagrees with their ideolog… https://t.co/230sAnlThK,56,63,28723,2/15/2018 5:14,10/27/2020 2:58,0,"[{'text': 'Democrats', 'indices': [0, 10]}, {'text': 'ROTFL', 'indices': [25, 31]}]"
MrsWFlower,"Puerto Rico, USA",Who’s your favorite? 🎶🎵🗳🇺🇸 #VoteEarly #VOTE #Democrat #Republican https://t.co/EBXki9isuQ,954,1134,28436,9/29/2016 20:33,10/27/2020 2:57,0,"[{'text': 'VoteEarly', 'indices': [27, 37]}, {'text': 'VOTE', 'indices': [38, 43]}, {'text': 'Democrat', 'indices': [44, 53]}, {'text': 'Republican', 'indices': [54, 65]}]"
MetroPulseUSA,West suburban Chicago,AND PARTY OF #AbrahamLincoln 1ST EVER #Republican president from the heart of the heartland #Illinois first elected… https://t.co/oX8PTUuzR5,3569,2566,220239,4/24/2013 21:59,10/27/2020 2:56,0,"[{'text': 'AbrahamLincoln', 'indices': [13, 28]}, {'text': 'Republican', 'indices': [38, 49]}, {'text': 'Illinois', 'indices': [92, 101]}]"
polls_unbiased,United States,"@DanSullivan_AK Election Poll: Who would you vote for in the Senate election, currently held by Republican… https://t.co/phR99M1ekV",5417,5758,5586,5/13/2020 3:41,10/27/2020 2:55,3,[]
rooneygrl,The Planet Earth,Check out BIDEN/HARRIS 2020's video! #TikTok #VoteBlue #BidenHairIs2020 #WearAMask #SupremeCourt… https://t.co/wBAPOZqcfK,948,61,5974,9/17/2010 23:22,10/27/2020 2:54,0,"[{'text': 'TikTok', 'indices': [37, 44]}, {'text': 'VoteBlue', 'indices': [45, 54]}, {'text': 'BidenHairIs2020', 'indices': [55, 71]}, {'text': 'WearAMask', 'indices': [72, 82]}, {'text': 'SupremeCourt', 'indices': [83, 96]}]"
