User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
thejoshuablog,new york city,Via @TPM: Records Show Trump’s Border Wall Is Costing Taxpayers Billions More Than Initial Contracts… https://t.co/mFkyubBaTE,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @TPM: Obama Knocks Trump For Being ‘Jealous Of COVID’s Media Coverage’ https://t.co/kM1d307pqt | #trump #politics #election2020,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,"[{'text': 'trump', 'indices': [101, 107]}, {'text': 'politics', 'indices': [108, 117]}, {'text': 'election2020', 'indices': [118, 131]}]"
thejoshuablog,new york city,Via @TPM: Trump-Picked VOA Boss Eliminates ‘Firewall’ Between Journalists And Political Management… https://t.co/pRYZFDRSaR,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @TPM: McEnany Leans Into White House’s Surrender On COVID By Touting Therapeutics https://t.co/7VubnbTJNd |… https://t.co/awinFV39qr,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
thejoshuablog,new york city,Via @TPM: ‘Classless’: Twitter Explodes As GOP Trolls Clinton On Her Bday Amid ACB Confirmation… https://t.co/3YtZeuLdlx,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:16,0,[]
NWPCCA,California,"The election ends in 7 days - what's your plan to vote? 

#VotePROCHOICE #ElectionsMatter #GOTV #VotesForWomen… https://t.co/QjLJj7KohF",1309,1242,2118,2/9/2010 22:25,10/27/2020 18:15,0,"[{'text': 'VotePROCHOICE', 'indices': [58, 72]}, {'text': 'ElectionsMatter', 'indices': [73, 89]}, {'text': 'GOTV', 'indices': [90, 95]}, {'text': 'VotesForWomen', 'indices': [96, 110]}]"
ProjectSociafy,USA,"Joe’s “Response” To Hunter Biden Laptop Story. Also, EvErYtHinG iS RusSiA! | Good Morning #MugClub - via: @scrowder… https://t.co/7UhCgMENlO",85,22745,4270,9/27/2015 1:58,10/27/2020 18:15,0,"[{'text': 'MugClub', 'indices': [90, 98]}]"
thejoshuablog,new york city,Via @TPM: Bloomberg Pours Millions Into Ad Blitz For Biden In Texas And Ohio https://t.co/Y6UViRt7dy | #trump #politics #election2020,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,"[{'text': 'trump', 'indices': [103, 109]}, {'text': 'politics', 'indices': [110, 119]}, {'text': 'election2020', 'indices': [120, 133]}]"
thejoshuablog,new york city,Via @huffpostqueer: Lady Gaga Serves Up 'Ballot Drop Off Realness' In The Ultimate Voting Video… https://t.co/t7t7czL7Q8,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,[]
thejoshuablog,new york city,Via @huffpostqueer: EPA Cancels LGBTQ Pride And Resilience Event Due To Trump Crackdown https://t.co/IuGmpLZZpT | #lgbtq #lgbt #politics,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,"[{'text': 'lgbtq', 'indices': [114, 120]}, {'text': 'lgbt', 'indices': [121, 126]}, {'text': 'politics', 'indices': [127, 136]}]"
thejoshuablog,new york city,Via @huffpostqueer: New Book Showcases 100 Years Of Male Intimacy Before Gay Relationships Were Legal… https://t.co/i6ebCOvAM6,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,[]
thejoshuablog,new york city,Via @huffpostqueer: Fortune Feimster Says Concerns For Same-Sex Marriage's Future Prompted Her To Wed Early… https://t.co/Jnr3uwQVyn,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,[]
thejoshuablog,new york city,Via @huffpostqueer: Andy Cohen Says He's Offended On Behalf Of 'Real Housewives' Over Comparisons To Trump… https://t.co/styV53DujB,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,[]
thejoshuablog,new york city,Via @huffpostqueer: They Lost Their Jobs In The Pandemic. Now Defeating Trump Is Full-Time Work.… https://t.co/72GR3TJAf9,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,[]
thejoshuablog,new york city,Via @huffpostqueer: The White Supremacist And Extremist Donors To Trump’s 2020 Campaign https://t.co/tGc2Hy18EU | #lgbtq #lgbt #politics,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,"[{'text': 'lgbtq', 'indices': [114, 120]}, {'text': 'lgbt', 'indices': [121, 126]}, {'text': 'politics', 'indices': [127, 136]}]"
thejoshuablog,new york city,Via @huffpostqueer: Keiynan Lonsdale Channels LGBTQ Rights Icon Bayard Rustin In HBO Max's 'Equal'… https://t.co/990G0ltLpc,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,[]
thejoshuablog,new york city,Via @huffpostqueer: 'Sex And The City' Star Willie Garson Jokes That He's Never Been 'Straight Closeted'… https://t.co/eaZSKvGMQ7,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:15,0,[]
mrstrongarm,"Harrisville, NH, United States",Ballot harvesting... take a look at how it's used to siphon off a vote from a trusting elderly person. With a littl… https://t.co/lp7tjLLqpw,2388,2333,24620,5/19/2011 0:05,10/27/2020 18:15,0,[]
Christinefor24,"Miami, FL","I AM SO INCREDIBLY GRATEFUL FOR OUR MOVEMENT! We only have $4,966 left to raise before we reach our final campaign… https://t.co/gB5nbEohx7",910,6339,3546,8/1/2017 17:12,10/27/2020 18:14,1,[]
thejoshuablog,new york city,Via @huffpostqueer: Ariana Grande Hailed As 'Our President' In White House Video For New Single 'Positions'… https://t.co/I8STXtaPer,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:14,1,[]
2020_HappyHour,Colorado ,"Where my two social media worlds collide: #Booze &amp; #Politics 🍷🇺🇸 - since politics is a good reason to drink, it's a… https://t.co/qkfsJ6HSec",1170,325,2034,5/30/2020 17:27,10/27/2020 18:14,1,"[{'text': 'Booze', 'indices': [42, 48]}, {'text': 'Politics', 'indices': [55, 64]}]"
RiseUpAndRevolt,"Houston, TX",Its not about #Politics its about #Power and #Profits thats all these Israeli first congressman and politicians car… https://t.co/kExENqMVXr,4,2,32,9/10/2020 22:02,10/27/2020 18:13,0,"[{'text': 'Politics', 'indices': [14, 23]}, {'text': 'Power', 'indices': [34, 40]}, {'text': 'Profits', 'indices': [45, 53]}]"
thejoshuablog,new york city,Via @AMERICABlog: Recap of the final presidential debate between Joe Biden and Donald Trump https://t.co/H6d8lfHjy3… https://t.co/SEYwee0Owd,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:13,0,[]
Netsbridge,"Space City, Lone Star State",@J12bar @ABC Stranger things have happened: @realDonaldTrump (businessman w/ no diplomacy) is President of the USA.… https://t.co/8zrO9HMnwa,103,322,22482,10/19/2009 0:51,10/27/2020 18:12,0,[]
muazamiqbal_AR,"Sialkot, Pakistan","World Headlines &amp; World Business Report
#politics #whats_hot
https://t.co/4xd9rjBvQD
https://t.co/Nawf2SGI5K",397,154,34300,1/7/2016 21:40,10/27/2020 18:11,0,"[{'text': 'politics', 'indices': [44, 53]}, {'text': 'whats_hot', 'indices': [54, 64]}]"
Sara_Ai_Dev,,"World Headlines &amp; World Business Report
#politics #whats_hot
https://t.co/wgvh8f7cH1
https://t.co/u9KIORyVwn",3110,3169,21183,8/9/2019 6:48,10/27/2020 18:11,0,"[{'text': 'politics', 'indices': [44, 53]}, {'text': 'whats_hot', 'indices': [54, 64]}]"
thejoshuablog,new york city,"Via @Markos: Mississippi Senate race in single digits, but racism is in the way https://t.co/SPyA1Cjs3p | #politics #p2 #trump",2796,6611,484541,6/20/2008 18:32,10/27/2020 18:11,0,"[{'text': 'politics', 'indices': [106, 115]}, {'text': 'p2', 'indices': [116, 119]}, {'text': 'trump', 'indices': [120, 126]}]"
thejoshuablog,new york city,"Via @Markos: Democrats crushing the early Pennsylvania vote, as Republicans plot to discredit it… https://t.co/Tut5Yyx0a0",2796,6611,484541,6/20/2008 18:32,10/27/2020 18:11,0,[]
thejoshuablog,new york city,Via @Markos: Republicans collapsing in Georgia https://t.co/LYhWhFVA9W | #politics #p2 #trump,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:11,0,"[{'text': 'politics', 'indices': [73, 82]}, {'text': 'p2', 'indices': [83, 86]}, {'text': 'trump', 'indices': [87, 93]}]"
thejoshuablog,new york city,Via @Markos: One million new voters in Georgia are a (really) big deal https://t.co/83i7wMCTXP | #politics #p2 #trump,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:11,0,"[{'text': 'politics', 'indices': [97, 106]}, {'text': 'p2', 'indices': [107, 110]}, {'text': 'trump', 'indices': [111, 117]}]"
thejoshuablog,new york city,Via @Markos: To freak out or not? Here's what the polls say this week about the state of the presidential race… https://t.co/yYIM7Zsa9b,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:11,1,[]
thejoshuablog,new york city,Via @Markos: Trump hopes Nevada will bail him out. What do the numbers say? https://t.co/1885ALbmtC | #politics #p2 #trump,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:11,0,"[{'text': 'politics', 'indices': [102, 111]}, {'text': 'p2', 'indices': [112, 115]}, {'text': 'trump', 'indices': [116, 122]}]"
thejoshuablog,new york city,Via @Markos: Florida poised to deliver election night death blow to Trump presidency (but it's close)… https://t.co/lOk10ZPeT0,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:11,0,[]
thejoshuablog,new york city,Via @NatioinalMemo: Patriotism On Full Display —By Chickenhawks Like Trump https://t.co/tZvbRj7f1Z | Via… https://t.co/y7teXsKSz4,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:11,0,[]
thejoshuablog,new york city,Via @MarkFiore: Make America Up Again https://t.co/Pv4X3jVgSo | #politics #trump #politicalcartoons,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:10,0,"[{'text': 'politics', 'indices': [64, 73]}, {'text': 'trump', 'indices': [74, 80]}, {'text': 'politicalcartoons', 'indices': [81, 99]}]"
thejoshuablog,new york city,Via @RawStory: Trump-owned Mar-a-Lago billed taxpayers $3 — for a glass of water https://t.co/Y0CXJPHvNH | #politics #trump #corruption,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:10,1,"[{'text': 'politics', 'indices': [107, 116]}, {'text': 'trump', 'indices': [117, 123]}, {'text': 'corruption', 'indices': [124, 135]}]"
thejoshuablog,new york city,Via @RawStory: Conservative lays out 3 possible Biden victory scenarios — including a Herbert Hoover-like ‘repudiat… https://t.co/Pl5a1mvIrn,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:10,1,[]
